feature,mean,std,min,max
SK_DPD_DEF_sum_x,4220.110577265422,306.13744218235206,3895.3014183044434,4503.32240486145
AMT_CREDIT_SUM_OVERDUE_sum,4195.043830553691,470.688623024636,3799.806781768799,4715.754503250122
WALLSMATERIAL_MODE,4172.132143338521,583.0088824015226,3635.27091217041,4792.321725845337
CC_RECENT_AMT_PAYMENT_CURRENT_max,4121.040916442871,1035.2170099126424,3483.819190979004,5315.514560699463
AMT_BALANCE_sum,4107.249322891235,335.3546248960346,3851.8991050720215,4487.035367965698
AMT_DRAWINGS_ATM_CURRENT_sum,4093.8010330200195,229.43267601543954,3846.3288955688477,4299.436483383179
CC_RECENT_AMT_DRAWINGS_CURRENT_sum,4080.170562108358,1290.2523228109937,2655.139789581299,5169.138507843018
CONTACT_INFO_COUNT,4059.084660847982,380.6484046604323,3827.8711013793945,4498.417289733887
POS_DPD_TREND,4030.9590180714927,431.0538416873145,3559.8459815979004,4405.608291625977
AMT_BALANCE_mean,4011.0443795522056,779.7042849101709,3534.6876907348633,4910.85101890564
ENTRANCES_MODE,4010.3998991648355,1041.2275991531346,2811.857889175415,4691.9976978302
AMT_DRAWINGS_ATM_CURRENT_max,3980.079708735148,47.697609943820055,3930.784507751465,4026.0005168914795
CC_UTILIZATION_IMPROVEMENT,3939.772040049235,1188.7217183684581,2578.931221008301,4775.574310302734
ENTRANCES_MEDI,3908.8782682418823,308.16115041268284,3681.367109298706,4259.577509880066
RECENT_APPROVAL_RATE,3786.3831049601235,968.6923977960969,2736.8744983673096,4646.195201873779
SK_DPD_max_x,3785.2031332651773,648.0903715695559,3041.2821941375732,4227.572103500366
AMT_DRAWINGS_POS_CURRENT_mean,3768.2827701568604,1478.6716870474713,2788.6091136932373,5469.172695159912
AMT_DRAWINGS_CURRENT_mean,3748.681470235189,1152.3441534853164,2882.6449871063232,5056.561218261719
AMT_PAYMENT_CURRENT_mean,3727.473899205526,339.0796472400396,3391.458501815796,4069.536895751953
REGION_RATING_CLIENT,3724.6567096710205,1089.2352195280148,3035.9994831085205,4980.438438415527
NAME_CONTRACT_TYPE,3715.1796239217124,884.7233287230454,3059.7595024108887,4721.530765533447
CNT_CHILDREN,3712.113976160685,2015.8946787613813,2015.9584064483643,5940.816101074219
FLOORSMAX_MODE,3694.3306032816567,890.0186490764332,2689.6006050109863,4383.835706710815
STATUS_NUMERIC_mean,3643.596502304077,1496.9846398731675,2433.3523960113525,5317.57070350647
NONLIVINGAPARTMENTS_AVG,3622.8711954752603,1951.6118781261014,1376.2785911560059,4899.154998779297
CC_RECENT_AMT_DRAWINGS_CURRENT_mean,3482.0118001302085,554.0754012078388,2859.460699081421,3921.0455017089844
RECENT_PAY_LATE_PAYMENT_sum,3428.2127685546875,1953.1044712958724,1293.7855892181396,5126.126396179199
BUREAU_CREDIT_TYPE_COUNT,3400.0104859670005,892.4345280974416,2555.279306411743,4333.513349533081
CNT_DRAWINGS_CURRENT_sum,3375.820841471354,574.7941960393396,2713.515396118164,3744.4167289733887
OLD_STATUS_STATUS_NUM_mean,3333.9007682800293,300.4254081795078,2997.698007583618,3576.0373001098633
CC_RECENT_AMT_PAYMENT_CURRENT_mean,3328.5544859568276,1167.94086252906,2066.694986343384,4371.6356773376465
