lgb_w,xgb_w,cat_w,auc
0.30000000000000004,0.15000000000000002,0.55,0.7916863089488713
0.15000000000000002,0.7000000000000001,0.15000000000000002,0.7916452648998334
0.1,0.55,0.35000000000000003,0.7916401609338141
0.25,0.75,0.0,0.7916361598964057
0.1,0.6000000000000001,0.30000000000000004,0.7916355924724097
0.25,0.2,0.55,0.7916259918635931
0.1,0.5,0.4,0.7916119038742997
0.1,0.65,0.25,0.791600606978379
0.2,0.75,0.05,0.7915947794113922
0.15000000000000002,0.35000000000000003,0.5,0.7915875412642607
0.1,0.45,0.45,0.7915527652411678
0.2,0.25,0.55,0.7915472347809192
0.1,0.7000000000000001,0.2,0.7915341481197071
0.15000000000000002,0.75,0.1,0.7915290727956324
0.4,0.0,0.6000000000000001,0.7915254640531162
0.35000000000000003,0.05,0.6000000000000001,0.7915133741600741
0.30000000000000004,0.1,0.6000000000000001,0.7914826671455714
0.1,0.4,0.5,0.791461518418206
0.05,0.6000000000000001,0.35000000000000003,0.7914606912217477
0.15000000000000002,0.30000000000000004,0.55,0.7914513716174816
0.05,0.65,0.30000000000000004,0.791445336289524
0.05,0.55,0.4,0.7914446039962253
0.1,0.75,0.15000000000000002,0.7914374968040543
0.25,0.15000000000000002,0.6000000000000001,0.7914336860004565
0.2,0.8,0.0,0.7914298063706937
0.05,0.7000000000000001,0.25,0.7913980471565962
0.05,0.5,0.45,0.7913967203648266
0.15000000000000002,0.8,0.05,0.7913828427014544
0.2,0.2,0.6000000000000001,0.7913668372693456
0.1,0.35000000000000003,0.55,0.7913372599729345
0.05,0.75,0.2,0.7913202408154849
0.05,0.45,0.5,0.7913177539537124
0.1,0.8,0.1,0.7913098594643092
0.15000000000000002,0.25,0.6000000000000001,0.7912831858340874
0.35000000000000003,0.0,0.65,0.7912647160547697
0.0,0.65,0.35000000000000003,0.7912630982836428
0.0,0.6000000000000001,0.4,0.7912585853961607
0.30000000000000004,0.05,0.65,0.791246387347716
0.0,0.7000000000000001,0.30000000000000004,0.7912364483079625
0.0,0.55,0.45,0.79122265058554
0.05,0.8,0.15000000000000002,0.7912122541296571
0.25,0.1,0.65,0.7912094084598429
0.15000000000000002,0.8500000000000001,0.0,0.7912067252368782
0.05,0.4,0.55,0.7912051827042925
0.1,0.30000000000000004,0.6000000000000001,0.7911806609248403
0.0,0.75,0.25,0.7911777916004846
0.0,0.5,0.5,0.7911548808947892
0.2,0.15000000000000002,0.65,0.7911548719174633
0.1,0.8500000000000001,0.05,0.7911530579276418
0.0,0.8,0.2,0.791089065696135
0.15000000000000002,0.2,0.65,0.7910827782905661
0.05,0.8500000000000001,0.1,0.7910744959236848
0.05,0.35000000000000003,0.6000000000000001,0.791060972080951
0.0,0.45,0.55,0.7910540233457071
0.1,0.25,0.65,0.7909931270091621
0.30000000000000004,0.0,0.7000000000000001,0.7909766329540292
0.0,0.8500000000000001,0.15000000000000002,0.7909701536046825
0.1,0.9,0.0,0.7909668777357108
0.25,0.05,0.7000000000000001,0.7909517770185572
0.0,0.4,0.6000000000000001,0.7909224010707412
0.2,0.1,0.7000000000000001,0.79091017138791
0.05,0.9,0.05,0.7909064369628312
0.05,0.30000000000000004,0.65,0.7908847892101435
0.15000000000000002,0.15000000000000002,0.7000000000000001,0.7908497316125109
0.0,0.9,0.1,0.7908214389286876
0.1,0.2,0.7000000000000001,0.7907715720207502
0.0,0.35000000000000003,0.65,0.7907575192282743
0.05,0.9500000000000001,0.0,0.7907090761527249
0.05,0.25,0.7000000000000001,0.7906750679047425
0.25,0.0,0.75,0.7906612090510056
0.0,0.9500000000000001,0.05,0.790641682939673
0.2,0.05,0.75,0.7906314846974463
0.15000000000000002,0.1,0.75,0.7905835197001254
0.0,0.30000000000000004,0.7000000000000001,0.7905605737976124
0.1,0.15000000000000002,0.75,0.7905165270468055
0.0,1.0,0.0,0.7904342467912062
0.05,0.2,0.75,0.7904331738582635
0.0,0.25,0.75,0.7903305728554919
0.2,0.0,0.8,0.7903188040087238
0.15000000000000002,0.05,0.8,0.7902828382762026
0.1,0.1,0.8,0.7902293317038489
0.05,0.15000000000000002,0.8,0.7901567574337727
0.0,0.2,0.8,0.790065920290366
0.15000000000000002,0.0,0.8500000000000001,0.7899490651465232
0.1,0.05,0.8500000000000001,0.789907518509732
0.05,0.1,0.8500000000000001,0.7898474446672364
0.0,0.15000000000000002,0.8500000000000001,0.7897683906203218
0.1,0.0,0.9,0.7895507962001032
0.05,0.05,0.9,0.7895040276095806
0.0,0.1,0.9,0.7894377981714598
0.05,0.0,0.9500000000000001,0.7891257991895171
0.0,0.05,0.9500000000000001,0.7890719375140498
0.0,0.0,1.0,0.7886728192840997
